year,selling_price,km_driven,owner,fuel_CNG,fuel_Diesel,fuel_Electric,fuel_LPG,fuel_Petrol,fuel_nan,transmission_Automatic,transmission_Manual,transmission_nan,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,seller_type_nan,brand
2007.0,60000,70000.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,18
2007.0,135000,50000.0,0,False,False,False,False,True,False,False,True,False,False,True,False,False,18
2012.0,600000,100000.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,10
2017.0,250000,46000.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,5
2014.0,450000,141000.0,2,False,True,False,False,False,False,False,True,False,False,True,False,False,9
2007.0,140000,125000.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,18
2016.0,550000,25000.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,10
2014.0,240000,60000.0,2,False,False,False,False,True,False,False,True,False,False,True,False,False,25
2015.0,850000,25000.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,10
2017.0,365000,78000.0,1,True,False,False,False,False,False,False,True,False,False,True,False,False,18
2015.0,260000,35000.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,3
2014.0,250000,100000.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,25
2007.0,135000,50000.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,18
2014.0,450000,60000.0,2,False,True,False,False,False,False,False,True,False,False,True,False,False,9
2017.0,365000,78000.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,18
2015.0,585000,24000.0,1,False,False,False,False,True,False,False,True,False,True,False,False,False,18
2019.0,1195000,5000.0,1,False,True,False,False,False,False,False,True,False,True,False,False,False,10
2013.0,390000,33000.0,2,False,True,False,False,False,False,False,True,False,False,True,False,False,3
2018.0,975000,4500.0,1,False,True,False,False,False,False,True,False,False,True,False,False,False,18
2018.0,930000,14500.0,1,False,False,False,False,True,False,False,True,False,True,False,False,False,9
2018.0,525000,15000.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,25
2011.0,450000,130400.0,2,False,True,False,False,False,False,True,False,False,True,False,False,False,24
2016.0,900000,50000.0,1,False,False,False,False,True,False,True,False,False,False,True,False,False,26
2010.0,850000,119000.0,1,False,False,False,False,True,False,True,False,False,True,False,False,False,19
2014.0,229999,60000.0,4,False,False,False,False,True,False,False,True,False,False,True,False,False,10
2012.0,625000,40000.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,10
2014.0,1050000,50000.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,17
2014.0,560000,74000.0,2,False,True,False,False,False,False,False,True,False,False,True,False,False,9
2014.0,290000,64000.0,2,False,False,False,False,True,False,False,True,False,False,True,False,False,18
2012.0,275000,60000.0,2,False,False,False,False,True,False,False,True,False,False,True,False,False,18
2009.0,411000,120000.0,2,False,True,False,False,False,False,False,True,False,False,True,False,False,17
2009.0,150000,79000.0,3,False,False,False,False,True,False,False,True,False,False,True,False,False,10
2019.0,500000,15000.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,10
2006.0,100000,80000.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,18
2017.0,725000,18500.0,1,False,True,False,False,False,False,False,True,False,True,False,False,False,18
2018.0,401000,10200.0,1,False,False,False,False,True,False,False,True,False,True,False,False,False,18
2018.0,750000,29000.0,1,False,True,False,False,False,False,False,True,False,True,False,False,False,10
2018.0,310000,28000.0,1,False,False,False,False,True,False,False,True,False,True,False,False,False,18
2016.0,665000,46000.0,1,False,True,False,False,False,False,False,True,False,True,False,False,False,18
2014.0,465000,70000.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,10
2012.0,160000,60000.0,2,False,False,False,False,True,False,False,True,False,False,True,False,False,18
1996.0,250000,35000.0,2,False,True,False,False,False,False,False,True,False,False,True,False,False,17
2014.0,675000,90000.0,1,False,True,False,False,False,False,False,True,False,True,False,False,False,9
2013.0,300000,80000.0,1,False,False,False,False,True,False,False,True,False,True,False,False,False,18
2005.0,70000,80000.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,25
2014.0,240000,73300.0,2,False,False,False,False,True,False,False,True,False,True,False,False,False,10
2014.0,525000,92000.0,1,False,True,False,False,False,False,False,True,False,True,False,False,False,26
2009.0,151000,66764.0,2,False,False,False,False,True,False,False,True,False,True,False,False,False,18
2009.0,140000,100000.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,18
2011.0,350000,60000.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,26
2017.0,570000,60000.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,17
2018.0,300000,31000.0,0,False,False,False,False,True,False,False,True,False,False,True,False,False,10
2007.0,100000,39000.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,25
2009.0,500000,120000.0,3,False,True,False,False,False,False,False,True,False,False,True,False,False,26
2006.0,130000,110000.0,3,False,False,False,False,True,False,False,True,False,False,True,False,False,18
2017.0,925000,35000.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,8
2018.0,750000,60000.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,18
2007.0,200000,54000.0,2,False,False,False,False,True,False,True,False,False,False,True,False,False,9
2010.0,248000,63000.0,2,False,True,False,False,False,False,False,True,False,False,True,False,False,10
2014.0,450000,120000.0,2,False,True,False,False,False,False,False,True,False,False,True,False,False,24
2005.0,80000,120000.0,3,False,False,False,False,True,False,False,True,False,False,True,False,False,10
2014.0,650000,76000.0,2,False,False,False,False,True,False,False,True,False,False,True,False,False,21
2015.0,450000,80000.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,10
2019.0,650000,25000.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,10
2016.0,495000,11958.0,1,False,False,False,False,True,False,False,True,False,True,False,False,False,9
2015.0,371000,20000.0,1,False,False,False,False,True,False,False,True,False,True,False,False,False,9
2017.0,1025000,9000.0,1,False,False,False,False,True,False,False,True,False,True,False,False,False,10
2015.0,750000,70000.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,17
2013.0,600000,120000.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,23
2007.0,80000,58000.0,2,False,False,False,False,True,False,False,True,False,True,False,False,False,10
2013.0,325000,62200.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,17
2015.0,350000,53000.0,2,False,True,False,False,False,False,False,True,False,False,True,False,False,6
2017.0,210000,15000.0,2,False,False,False,False,True,False,False,True,False,True,False,False,False,5
2013.0,450000,50000.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,27
2013.0,1150000,53000.0,1,False,True,False,False,False,False,True,False,False,True,False,False,False,1
2009.0,210000,63500.0,1,False,False,False,False,True,False,True,False,False,True,False,False,False,9
2008.0,175000,29173.0,1,False,False,False,False,True,False,False,True,False,True,False,False,False,18
2017.0,628000,120000.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,17
2010.0,600000,100000.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,10
2017.0,399000,30000.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,21
2018.0,750000,60000.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,17
2019.0,750000,15000.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,10
2017.0,315000,16000.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,23
2012.0,600000,60000.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,17
2010.0,100000,60000.0,4,False,False,False,False,True,False,False,True,False,False,True,False,False,18
2011.0,250000,110000.0,3,False,False,False,False,True,False,False,True,False,False,True,False,False,18
2017.0,350000,25000.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,23
2016.0,780000,60000.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,10
2014.0,434000,79350.0,2,False,True,False,False,False,False,False,True,False,False,True,False,False,18
2016.0,690000,80000.0,1,False,False,False,False,True,False,True,False,False,False,True,False,False,10
2014.0,555000,90000.0,2,False,True,False,False,False,False,False,True,False,False,True,False,False,17
2007.0,120000,60000.0,2,False,False,False,False,True,False,False,True,False,False,True,False,False,18
2014.0,500000,120000.0,2,False,True,False,False,False,False,False,True,False,False,True,False,False,18
2013.0,165000,60000.0,2,False,True,False,False,False,False,False,True,False,False,True,False,False,3
2004.0,95000,50000.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,18
2018.0,550000,20000.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,18
2007.0,100000,110000.0,4,False,True,False,False,False,False,False,True,False,False,True,False,False,18
2012.0,100000,50000.0,2,False,False,False,False,True,False,False,True,False,False,True,False,False,25
2012.0,500000,100000.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,26
2016.0,800000,70000.0,2,False,True,False,False,False,False,False,True,False,False,True,False,False,18
2016.0,840000,70000.0,2,False,True,False,False,False,False,False,True,False,False,True,False,False,10
2016.0,490000,50000.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,9
2010.0,125000,81000.0,2,False,True,False,False,False,False,False,True,False,False,True,False,False,25
2012.0,400000,120000.0,3,False,True,False,False,False,False,False,True,False,False,True,False,False,3
2014.0,1000000,3600.0,1,False,True,False,False,False,False,False,True,False,True,False,False,False,3
